,city id,city,country,latitude,longitute,temperature(C),humidity(%),wind speed(mps),cloud(%),receive date
286,1568574,Qui Nhon,VN,13.7667,109.2333,27.87,78,2.71,89,22-07-2022 20:56:02
287,3393692,Itarema,BR,-2.9248,-39.9167,26.78,69,5.65,83,22-07-2022 20:56:02
288,1269509,Jais,IN,26.25,81.5333,33.86,52,4.05,100,22-07-2022 20:56:03
289,4440397,Pascagoula,US,30.3658,-88.5561,22.89,99,2.72,31,22-07-2022 20:53:22
290,1337610,Thinadhoo,MV,0.5333,72.9333,25.91,80,1.46,100,22-07-2022 20:56:04
291,1253628,Ginda,IN,30.6945,78.4932,23.5,82,1.64,98,22-07-2022 20:56:05
292,3984997,San Quintín,MX,30.4833,-115.95,19.17,90,4.19,42,22-07-2022 20:56:06
293,2527087,Tiznit Province,MA,29.5833,-9.5,39.24,10,3.32,1,22-07-2022 20:56:07
294,237379,Ndélé,CF,8.4109,20.6473,24.23,79,1.78,100,22-07-2022 20:56:07
295,3396121,Luís Correia,BR,-2.8792,-41.6669,26.0,89,3.09,20,22-07-2022 20:56:08
296,364933,Umm Kaddadah,SD,13.6017,26.6876,32.12,34,3.07,49,22-07-2022 20:56:09
297,3981391,Tomatlán,MX,19.9333,-105.25,25.99,93,1.39,85,22-07-2022 20:56:10
298,1847947,Shingū,JP,33.7333,135.9833,25.17,78,2.8,0,22-07-2022 20:56:11
299,2293428,Adiaké,CI,5.2863,-3.304,25.89,66,2.29,100,22-07-2022 20:56:12
300,3628473,San Cristobal,VE,7.7669,-72.225,23.1,90,1.59,98,22-07-2022 20:56:13
301,2512186,Puerto del Rosario,ES,28.5004,-13.8627,24.86,73,6.69,0,22-07-2022 20:56:14
302,1261186,North Guwāhāti,IN,26.2014,91.7236,32.97,70,1.54,75,22-07-2022 20:56:14
303,415189,Aden,YE,12.7794,45.0367,29.75,72,4.13,6,22-07-2022 20:56:15
304,189280,Lodwar,KE,3.1191,35.5973,32.88,30,5.68,13,22-07-2022 20:56:16
305,157403,Kilosa,TZ,-6.8333,36.9833,26.39,41,3.94,65,22-07-2022 20:56:17
306,2426370,Umm Hājar,TD,13.2954,19.6966,31.76,45,0.36,100,22-07-2022 20:56:17
307,1224061,Wattegama,LK,6.7989,81.4808,31.24,56,3.91,100,22-07-2022 20:56:18
308,1260206,Pāsighāt,IN,28.0667,95.3333,26.45,90,0.74,100,22-07-2022 20:56:19
309,1067565,Beloha,MG,-25.1667,45.05,28.11,29,3.51,0,22-07-2022 20:56:20
310,1795857,Shaowu,CN,27.3409,117.4831,30.59,66,1.32,46,22-07-2022 20:56:20
311,2455290,Kidal,ML,18.4411,1.4078,37.48,21,4.98,39,22-07-2022 20:56:21
312,2306104,Accra,GH,5.556,-0.1969,27.23,65,3.6,20,22-07-2022 20:56:22
313,53654,Mogadishu,SO,2.0371,45.3438,24.93,78,7.2,75,22-07-2022 20:56:23
314,201521,Ruhengeri,RW,-1.4998,29.635,23.46,41,2.6,72,22-07-2022 20:56:23
